OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
Sky Airline,3,N,Antofagasta,Viernes,0
Grupo LATAM,7,N,Concepcion,Jueves,0
Grupo LATAM,9,N,Arica,Miercoles,0
Grupo LATAM,11,N,Iquique,Viernes,0
Sky Airline,5,N,Valdivia,Lunes,0
Aerolineas Argentinas,6,I,Buenos Aires,Domingo,0
Qantas Airways,1,I,Sydney,Domingo,1
Grupo LATAM,10,N,Puerto Montt,Miercoles,0
Sky Airline,5,N,Iquique,Sabado,0
Aeromexico,9,I,Ciudad de Mexico,Viernes,0
Grupo LATAM,3,N,Concepcion,Jueves,0
Sky Airline,10,N,Valdivia,Domingo,0
Air Canada,9,I,Buenos Aires,Sabado,0
Grupo LATAM,1,N,Concepcion,Lunes,0
Grupo LATAM,1,I,Los Angeles,Sabado,0
Sky Airline,2,N,Calama,Domingo,0
Grupo LATAM,4,N,Concepcion,Miercoles,0
Grupo LATAM,11,N,Temuco,Domingo,0
Grupo LATAM,12,N,Arica,Viernes,0
Grupo LATAM,10,N,Temuco,Martes,0
Grupo LATAM,10,N,Concepcion,Martes,0
Grupo LATAM,11,N,Punta Arenas,Viernes,0
Grupo LATAM,10,N,Calama,Lunes,0
Grupo LATAM,2,N,Punta Arenas,Domingo,0
Grupo LATAM,7,N,Concepcion,Martes,1
Grupo LATAM,5,I,Los Angeles,Viernes,0
Grupo LATAM,9,N,Balmaceda,Sabado,0
Sky Airline,10,N,Antofagasta,Domingo,0
Sky Airline,10,N,Copiapo,Martes,0
Aerolineas Argentinas,11,I,Buenos Aires,Domingo,0
Grupo LATAM,8,I,Auckland N.Z.,Viernes,0
Grupo LATAM,12,I,Cordoba,Domingo,0
Grupo LATAM,2,N,Arica,Domingo,0
Aeromexico,5,I,Ciudad de Mexico,Jueves,0
Grupo LATAM,2,I,Lima,Jueves,0
Gol Trans,5,I,Sao Paulo,Martes,0
Grupo LATAM,1,N,Iquique,Jueves,0
Grupo LATAM,2,N,Iquique,Miercoles,0
Aerolineas Argentinas,7,I,Buenos Aires,Domingo,0
Oceanair Linhas Aereas,12,I,Sao Paulo,Miercoles,0
Grupo LATAM,2,I,Mendoza,Lunes,0
Grupo LATAM,4,N,La Serena,Miercoles,0
JetSmart SPA,9,N,Calama,Martes,0
Sky Airline,1,N,Iquique,Domingo,0
Grupo LATAM,10,N,Punta Arenas,Jueves,0
Grupo LATAM,4,I,Guayaquil,Sabado,0
Latin American Wings,11,I,Mendoza,Miercoles,0
Grupo LATAM,1,I,Rio de Janeiro,Lunes,1
Grupo LATAM,1,N,Concepcion,Viernes,0
Grupo LATAM,1,N,Antofagasta,Lunes,0
Grupo LATAM,9,N,Antofagasta,Miercoles,0
Grupo LATAM,11,I,Sao Paulo,Sabado,0
Sky Airline,3,N,Antofagasta,Viernes,0
Sky Airline,7,N,Concepcion,Viernes,0
Grupo LATAM,11,I,Ciudad de Mexico,Domingo,0
Sky Airline,7,I,Montevideo,Viernes,1
Grupo LATAM,4,N,Antofagasta,Domingo,0
Sky Airline,3,N,Calama,Sabado,0
Grupo LATAM,5,N,Concepcion,Miercoles,0
Grupo LATAM,8,I,Buenos Aires,Miercoles,0
Grupo LATAM,6,N,Calama,Martes,0
Grupo LATAM,2,N,Concepcion,Viernes,0
Grupo LATAM,8,I,Buenos Aires,Sabado,0
Grupo LATAM,11,N,Antofagasta,Lunes,1
Grupo LATAM,7,I,Sao Paulo,Miercoles,0
Grupo LATAM,11,I,Madrid,Sabado,0
Grupo LATAM,2,N,Calama,Jueves,0
Grupo LATAM,7,N,Copiapo,Martes,0
Grupo LATAM,4,N,Copiapo,Sabado,0
Sky Airline,8,N,Osorno,Miercoles,1
Grupo LATAM,1,N,Antofagasta,Martes,0
Grupo LATAM,3,N,Antofagasta,Lunes,0
Sky Airline,12,I,Lima,Domingo,0
Grupo LATAM,12,I,Buenos Aires,Sabado,0
Sky Airline,3,N,Balmaceda,Miercoles,0
Grupo LATAM,4,N,Calama,Lunes,0
Sky Airline,10,N,Puerto Montt,Domingo,0
Sky Airline,10,N,Concepcion,Miercoles,0
Grupo LATAM,10,N,Iquique,Viernes,0
Sky Airline,11,N,Antofagasta,Lunes,0
Qantas Airways,7,I,Sydney,Martes,1
Grupo LATAM,1,I,Sao Paulo,Lunes,0
JetSmart SPA,11,N,Temuco,Viernes,1
Sky Airline,5,N,Antofagasta,Lunes,1
Sky Airline,2,N,Puerto Montt,Lunes,1
Latin American Wings,4,I,Lima,Miercoles,0
Sky Airline,10,N,Iquique,Domingo,0
British Airways,6,I,Londres,Miercoles,0
Grupo LATAM,10,N,Castro (Chiloe),Viernes,0
Gol Trans,11,I,Sao Paulo,Jueves,1
Grupo LATAM,12,I,Sao Paulo,Sabado,1
Grupo LATAM,6,I,Buenos Aires,Viernes,0
Sky Airline,6,N,Antofagasta,Domingo,0
Grupo LATAM,3,N,Punta Arenas,Martes,0
Grupo LATAM,9,I,Montevideo,Jueves,0
Sky Airline,2,I,Buenos Aires,Lunes,0
Sky Airline,4,N,La Serena,Sabado,0
Air Canada,5,I,Buenos Aires,Domingo,0
Latin American Wings,5,N,Concepcion,Miercoles,0
Grupo LATAM,12,N,Iquique,Lunes,0
Sky Airline,3,N,Balmaceda,Domingo,0
Alitalia,1,I,Roma,Lunes,0
JetSmart SPA,10,N,Copiapo,Martes,1
Grupo LATAM,8,N,La Serena,Jueves,0
Sky Airline,10,I,Buenos Aires,Sabado,0
Grupo LATAM,12,N,Copiapo,Martes,0
Grupo LATAM,12,I,Lima,Lunes,0
Sky Airline,11,I,Buenos Aires,Jueves,0
Grupo LATAM,6,N,Puerto Montt,Viernes,0
Grupo LATAM,8,N,Concepcion,Miercoles,0
Sky Airline,3,N,Iquique,Domingo,0
Grupo LATAM,6,N,Calama,Martes,0
Grupo LATAM,9,I,Mendoza,Sabado,0
Grupo LATAM,7,N,Arica,Sabado,0
Grupo LATAM,6,N,Antofagasta,Miercoles,0
Grupo LATAM,8,N,Iquique,Jueves,0
JetSmart SPA,12,N,Antofagasta,Sabado,0
Grupo LATAM,5,N,Balmaceda,Domingo,0
Sky Airline,2,N,Iquique,Viernes,0
Grupo LATAM,2,N,Puerto Montt,Martes,0
Grupo LATAM,1,N,Isla de Pascua,Sabado,0
Sky Airline,7,I,Lima,Domingo,0
Grupo LATAM,9,I,Buenos Aires,Sabado,0
Gol Trans,4,I,Sao Paulo,Domingo,0
Grupo LATAM,5,N,Antofagasta,Lunes,0
Copa Air,7,I,Ciudad de Panama,Martes,1
Grupo LATAM,11,I,Asuncion,Lunes,0
Grupo LATAM,11,I,Lima,Sabado,0
Gol Trans,8,I,Sao Paulo,Lunes,1
Grupo LATAM,11,N,Calama,Miercoles,1
Delta Air,10,I,Atlanta,Viernes,1
Grupo LATAM,7,N,Puerto Montt,Miercoles,0
Sky Airline,10,I,Lima,Domingo,0
Grupo LATAM,1,N,Antofagasta,Domingo,0
Delta Air,4,I,Atlanta,Martes,0
Air Canada,12,I,Buenos Aires,Domingo,0
Sky Airline,2,I,Lima,Viernes,1
Grupo LATAM,1,I,Nueva York,Jueves,1
Latin American Wings,12,N,Concepcion,Viernes,1
Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
Grupo LATAM,5,I,Guayaquil,Lunes,1
Sky Airline,12,N,La Serena,Domingo,0
Grupo LATAM,3,N,Iquique,Viernes,0
Sky Airline,5,N,Temuco,Lunes,0
Sky Airline,3,N,Temuco,Sabado,0
Grupo LATAM,1,N,Puerto Montt,Jueves,0
Latin American Wings,7,I,Lima,Lunes,1
JetSmart SPA,10,N,La Serena,Lunes,0
Grupo LATAM,2,I,Mendoza,Miercoles,0
Aerolineas Argentinas,8,I,Buenos Aires,Jueves,0
Sky Airline,3,I,Lima,Viernes,1
Grupo LATAM,7,N,La Serena,Viernes,0
Sky Airline,9,N,Punta Arenas,Martes,0
Latin American Wings,12,N,Antofagasta,Jueves,0
